Obywatelstwo,Citizenship,
Data urodzenia,Date of birth,
Wykształcenie,Educational background,
Kobieta(płeć żeńska),Female,
Imię i nazwisko,Full name,
Nazwisko panieńskie,Maiden name,
Stan cywilny,Marital status,
Narodowość,Nationality,
W separacji,Separated,
Kawaler,Single,
Atrakcyjny bądź ładny,Attractive,
Przeciętny,Average,
Piękny,Beautiful,
Elegancki,Elegant,
Niechlujny,Scruffy,
Starszy w formie grzecznościowej,Elderly,
Młody,Young,
rudy,ginger,
siwy,grey,
mieć grzywkę,have a fringe,
średniej długości,medium lenght,
prosty,straight,
gęsty,thick,
cienki bądź rzadki,thin,
falowany, wavy,,
gładko ogolony,lean-shaven,
brew,eyebrow,
jasny,fair,
pieg,freckle,
blady,pale,
opalony,tanned,
